open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,246.110,246.590,245.020,245.150,134567.62,1672545599999,33047271.40730,41189,63606.45,15620749.28540,0
1672545600000,245.150,245.220,243.300,243.910,200595.63,1672559999999,48953707.85870,57747,95483.75,23299936.08890,0
1672560000000,243.910,244.540,243.250,244.300,108323.71,1672574399999,26424875.97750,36092,56499.46,13783589.49110,0
1672574400000,244.300,244.670,243.840,244.480,97477.87,1672588799999,23802929.65310,33146,48654.94,11880682.96930,0
1672588800000,244.490,245.650,244.260,245.130,138935.40,1672603199999,34049441.13500,43507,71794.89,17594469.99040,0
1672603200000,245.130,245.810,243.540,244.360,113253.15,1672617599999,27707357.24760,34745,53346.21,13052879.19410,0
1672617600000,244.350,244.480,240.400,243.670,370901.70,1672631999999,89894423.45945,93449,170090.24,41229926.30670,0
1672632000000,243.670,247.000,242.820,246.260,347330.36,1672646399999,85152945.65152,93253,186673.33,45773990.41762,0
1672646400000,246.260,247.880,246.060,246.720,307291.74,1672660799999,75892386.46200,81592,151337.34,37380910.70740,0
1672660800000,246.730,247.470,245.840,246.850,195456.78,1672675199999,48206165.53770,54423,99785.86,24613828.79690,0
1672675200000,246.840,247.050,246.040,246.500,98030.39,1672689599999,24161062.78010,32862,47887.94,11803204.05590,0
1672689600000,246.510,247.730,244.950,245.070,157124.09,1672703999999,38707346.21480,52208,75014.56,18487592.43460,0
1672704000000,245.060,245.970,244.630,245.710,128580.27,1672718399999,31541032.59140,44698,62196.12,15256387.94140,0
1672718400000,245.720,246.900,245.100,246.140,140522.55,1672732799999,34575770.76880,43885,73658.78,18123793.65360,0
1672732800000,246.140,246.490,245.200,245.480,154078.47,1672747199999,37877958.94940,44345,77382.66,19024295.64020,0
1672747200000,245.470,246.260,244.020,245.280,269727.86,1672761599999,66144229.50010,74372,127566.18,31286405.87610,0
1672761600000,245.270,245.840,244.300,245.190,135234.23,1672775999999,33134828.02010,46721,66681.86,16339650.91910,0
1672776000000,245.180,246.190,245.030,245.970,89475.95,1672790399999,21980215.49220,33325,47592.94,11691749.64120,0
1672790400000,245.970,258.710,245.470,257.020,832935.90,1672804799999,210264787.64238,222141,466814.52,117729495.12598,0
1672804800000,257.020,257.270,253.590,255.030,327577.58,1672819199999,83595984.12170,88770,162330.99,41424426.16500,0
1672819200000,255.020,256.140,253.860,254.750,186170.08,1672833599999,47443139.65410,58409,91658.70,23361162.85300,0
1672833600000,254.750,257.300,253.780,256.830,271115.56,1672847999999,69247820.62130,85800,136614.46,34902297.86700,0
1672848000000,256.840,260.900,255.820,257.530,753068.08,1672862399999,194830059.51483,214325,382385.12,98936826.67580,0
1672862400000,257.540,259.150,254.700,258.540,230975.37,1672876799999,59342859.05580,78241,118027.41,30325741.71890,0
1672876800000,258.550,258.870,256.640,257.570,150387.46,1672891199999,38763714.21710,53298,72962.29,18805654.16570,0
1672891200000,257.570,258.900,256.240,257.360,142047.22,1672905599999,36608126.32620,53461,68417.84,17634461.71620,0
1672905600000,257.360,257.500,255.290,256.920,177764.25,1672919999999,45597135.77540,57326,90331.66,23171659.78960,0
1672920000000,256.910,258.000,255.000,256.540,284318.72,1672934399999,72913476.89190,87177,143414.21,36781744.28360,0
1672934400000,256.550,258.220,255.930,257.500,135773.11,1672948799999,34869955.14820,49203,67290.05,17282785.07490,0
1672948800000,257.500,257.930,255.590,256.440,126682.08,1672963199999,32527886.75840,44488,61759.55,15859052.18140,0
1672963200000,256.430,258.660,255.840,257.570,222623.88,1672977599999,57345160.20500,68350,116105.98,29908106.97650,0
1672977600000,257.570,257.900,255.100,256.190,189627.19,1672991999999,48603871.46910,65934,93606.75,23990678.71360,0
1672992000000,256.190,257.060,255.170,256.230,227567.89,1673006399999,58323177.52560,70510,116266.62,29799636.94200,0
1673006400000,256.230,259.700,253.950,258.880,504219.45,1673020799999,129255688.92350,152977,265139.54,68001948.51090,0
1673020800000,258.880,260.450,257.850,259.940,312192.31,1673035199999,80869101.69820,100488,160929.06,41693586.52640,0
1673035200000,259.930,260.500,258.400,259.690,186020.90,1673049599999,48250779.30940,61565,89409.16,23192027.57870,0
1673049600000,259.690,264.000,259.210,261.910,256965.00,1673063999999,67237084.37320,90946,140056.30,36653996.36310,0
1673064000000,261.920,262.170,260.390,260.840,87417.92,1673078399999,22814728.24660,37016,39744.96,10373075.68030,0
1673078400000,260.850,261.140,260.390,260.540,79356.04,1673092799999,20692920.13290,34911,38130.06,9943048.99000,0
1673092800000,260.540,261.000,259.590,260.860,133784.03,1673107199999,34820482.15500,55738,66700.08,17362075.18730,0
1673107200000,260.870,261.580,260.300,261.450,92846.78,1673121599999,24236976.74100,41569,45027.30,11755336.72870,0
1673121600000,261.440,261.620,260.410,261.110,72175.32,1673135999999,18842989.93120,35125,36552.03,9543659.46010,0
1673136000000,261.100,261.690,259.830,260.740,112588.96,1673150399999,29339059.90240,42881,55165.91,14376984.19680,0
1673150400000,260.750,261.220,260.540,260.740,68791.72,1673164799999,17946757.21790,27560,34410.55,8977596.39720,0
1673164800000,260.750,261.440,260.440,260.790,87755.63,1673179199999,22903402.60540,33710,43894.52,11456590.73280,0
1673179200000,260.790,267.830,260.530,266.890,447274.03,1673193599999,118054000.13631,130474,249921.35,65975678.24691,0
1673193600000,266.900,268.840,263.560,267.200,372602.88,1673207999999,99045146.00601,111858,194768.15,51795181.08554,0
1673208000000,267.210,277.000,266.900,274.700,487042.94,1673222399999,132191493.15799,165758,266483.51,72366829.08859,0
1673222400000,274.700,280.990,273.550,278.550,656219.43,1673236799999,182192734.91505,220060,332756.12,92408722.04005,0
1673236800000,278.550,279.690,277.360,277.600,190644.22,1673251199999,53098698.02310,68825,95376.08,26567998.86190,0
1673251200000,277.590,280.310,276.530,278.170,280306.93,1673265599999,78041814.19570,93632,145850.69,40607682.05530,0
1673265600000,278.170,282.990,276.510,280.200,442167.48,1673279999999,123509830.24122,140620,225909.18,63129228.48632,0
1673280000000,280.210,283.550,276.500,276.600,396876.96,1673294399999,111244225.18205,132603,191947.40,53816679.99260,0
1673294400000,276.600,276.970,271.270,272.440,432541.71,1673308799999,118155020.65858,136020,203714.49,55635826.68480,0
1673308800000,272.440,276.200,270.070,273.680,306312.25,1673323199999,83781967.81311,106203,151612.68,41464015.33110,0
1673323200000,273.680,275.040,272.860,274.370,148541.71,1673337599999,40723510.67838,56566,76786.71,21052328.91898,0
1673337600000,274.370,276.800,273.920,274.820,215279.67,1673351999999,59282753.78390,75345,107810.00,29690853.90520,0
1673352000000,274.810,276.500,273.300,275.690,333393.53,1673366399999,91641705.35140,105128,165314.41,45446965.07420,0
1673366400000,275.710,276.290,274.100,276.100,201681.43,1673380799999,55504507.52010,70249,99879.42,27490151.71470,0
1673380800000,276.100,278.650,275.770,277.020,228331.21,1673395199999,63315224.47165,79853,116291.85,32250535.79945,0
1673395200000,277.010,277.820,273.910,274.800,188484.88,1673409599999,52007455.33478,64965,90400.61,24939016.82130,0
1673409600000,274.800,277.730,274.020,277.570,173603.66,1673423999999,47897285.06440,57493,89953.43,24817467.00830,0
1673424000000,277.570,278.500,276.810,277.670,173478.88,1673438399999,48182452.36275,59514,85005.54,23610845.89835,0
1673438400000,277.670,279.000,276.160,276.710,309143.07,1673452799999,85793536.28270,102289,156177.25,43343759.56500,0
1673452800000,276.680,279.750,275.360,279.630,267351.86,1673467199999,74316306.28900,95622,134192.84,37309491.27630,0
1673467200000,279.630,287.400,278.590,284.740,394382.90,1673481599999,111380592.11541,145851,212299.47,59981359.67161,0
1673481600000,284.740,288.200,283.830,286.770,424597.52,1673495999999,121345243.25890,150569,212924.11,60860489.89780,0
1673496000000,286.780,287.170,284.200,284.900,175074.48,1673510399999,49996967.19940,66695,84758.40,24203185.15180,0
1673510400000,284.900,284.960,281.720,283.180,217551.64,1673524799999,61588109.86282,75118,107832.03,30526780.38910,0
1673524800000,283.180,286.300,276.510,281.330,664581.92,1673539199999,187669512.63045,253586,319854.60,90351044.03963,0
1673539200000,281.340,287.940,280.740,285.800,510141.19,1673553599999,145552404.86379,173675,257374.32,73438512.91579,0
1673553600000,285.800,288.670,285.300,287.520,293120.89,1673567999999,84065016.07850,94192,150453.61,43160310.91260,0
