open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,0.10769,0.10848,0.10708,0.10719,83632393,1704081599999,9022741.24138,27756,40089047,4326115.65788,0
1704081600000,0.10719,0.10732,0.10601,0.10711,96409464,1704095999999,10285733.08731,31929,46570812,4968706.02025,0
1704096000000,0.10710,0.10751,0.10690,0.10703,51056894,1704110399999,5472758.54093,20814,23617349,2531617.74429,0
1704110400000,0.10703,0.10738,0.10674,0.10732,46641394,1704124799999,4992740.48305,18592,24128464,2583129.54662,0
1704124800000,0.10731,0.10770,0.10689,0.10763,50189697,1704139199999,5384297.04609,20261,24146050,2590441.58171,0
1704139200000,0.10764,0.10812,0.10738,0.10779,60756399,1704153599999,6543469.75263,22323,29053805,3130018.84203,0
1704153600000,0.10780,0.10847,0.10763,0.10838,87156360,1704167999999,9425263.64646,29602,45235462,4892191.07492,0
1704168000000,0.10839,0.10885,0.10824,0.10878,46360253,1704182399999,5029983.16384,17080,21316079,2312999.17987,0
1704182400000,0.10878,0.11079,0.10864,0.11033,180019992,1704196799999,19799429.28329,67900,97519486,10724422.73986,0
1704196800000,0.11033,0.11061,0.10852,0.10880,147252581,1704211199999,16125730.41668,45442,73348311,8031182.54259,0
1704211200000,0.10881,0.11001,0.10860,0.10921,112564886,1704225599999,12310386.87351,37600,55119184,6027372.16643,0
1704225600000,0.10921,0.10953,0.10811,0.10841,78056155,1704239999999,8503276.21001,24912,36972098,4027978.08982,0
1704240000000,0.10841,0.10982,0.10827,0.10975,73377552,1704254399999,8000429.58771,25333,36892132,4022537.87351,0
1704254400000,0.10975,0.10998,0.10891,0.10908,60057488,1704268799999,6574243.86737,23072,27254034,2983431.29530,0
1704268800000,0.10908,0.11014,0.10695,0.10749,169046812,1704283199999,18404689.44983,49998,83674889,9110655.51200,0
1704283200000,0.10750,0.10753,0.10269,0.10535,602295786,1704297599999,62924441.82181,176390,290717904,30374490.82156,0
1704297600000,0.10535,0.10574,0.10411,0.10475,169192273,1704311999999,17762898.09674,50868,82020208,8611022.46328,0
1704312000000,0.10475,0.10685,0.10461,0.10683,100436155,1704326399999,10633981.36312,33018,51589097,5462156.33923,0
1704326400000,0.10683,0.10792,0.10671,0.10782,127229571,1704340799999,13660550.61326,40183,64349375,6909710.95538,0
1704340800000,0.10783,0.10873,0.10752,0.10755,106480593,1704355199999,11515814.85606,36025,50020332,5409999.05195,0
1704355200000,0.10755,0.10770,0.10627,0.10681,128734890,1704369599999,13781680.64215,41789,63628882,6811707.71222,0
1704369600000,0.10680,0.10764,0.10659,0.10741,96467919,1704383999999,10331621.53054,31094,48671479,5212746.98453,0
1704384000000,0.10741,0.10747,0.10681,0.10687,62964390,1704398399999,6747882.85296,23766,32251347,3456465.69911,0
1704398400000,0.10687,0.10752,0.10683,0.10696,58430701,1704412799999,6261440.08023,22454,29496552,3160819.23230,0
1704412800000,0.10696,0.10717,0.10475,0.10544,138659478,1704427199999,14705893.48527,48534,65135848,6907364.52197,0
1704427200000,0.10544,0.10602,0.10518,0.10586,45879918,1704441599999,4842355.21950,19744,22812588,2407803.32356,0
1704441600000,0.10585,0.10636,0.10459,0.10471,116479395,1704455999999,12283001.05029,37722,52191593,5502965.35419,0
1704456000000,0.10471,0.10497,0.10325,0.10369,163850530,1704470399999,17062425.51375,50544,73613826,7666828.82626,0
1704470400000,0.10368,0.10403,0.10295,0.10384,103835636,1704484799999,10756868.29432,38884,52747681,5464851.94954,0
1704484800000,0.10383,0.10445,0.10377,0.10437,63701201,1704499199999,6629608.20306,25328,32098971,3340763.62124,0
1704499200000,0.10437,0.10438,0.10352,0.10353,42786128,1704513599999,4446566.83416,18050,20116880,2090677.93578,0
1704513600000,0.10352,0.10354,0.10152,0.10269,160799171,1704527999999,16460527.08845,49506,78012173,7985125.21875,0
1704528000000,0.10270,0.10393,0.10256,0.10363,72613069,1704542399999,7494511.30059,25822,36965965,3815784.85123,0
1704542400000,0.10363,0.10421,0.10353,0.10410,55325865,1704556799999,5748502.93872,21306,27114129,2817427.72909,0
1704556800000,0.10409,0.10429,0.10367,0.10390,40602012,1704571199999,4220816.52685,17913,19810547,2059344.36709,0
1704571200000,0.10390,0.10397,0.10334,0.10385,35667938,1704585599999,3698990.47655,16537,17650847,1830505.01195,0
1704585600000,0.10384,0.10402,0.10328,0.10349,41097855,1704599999999,4262329.77760,18314,20649691,2141981.30009,0
1704600000000,0.10348,0.10411,0.10335,0.10405,33045449,1704614399999,3433199.89745,16480,17443007,1812273.86608,0
1704614400000,0.10405,0.10408,0.10330,0.10361,42297911,1704628799999,4380753.43459,19483,21928001,2270639.97358,0
1704628800000,0.10360,0.10408,0.10334,0.10358,48782994,1704643199999,5058233.85103,20818,22972893,2382332.18494,0
1704643200000,0.10359,0.10394,0.10338,0.10383,40536447,1704657599999,4202214.37489,18301,22390290,2321272.74933,0
1704657600000,0.10382,0.10395,0.10236,0.10270,93799904,1704671999999,9666696.41069,31699,43857365,4521116.99386,0
1704672000000,0.10271,0.10279,0.10099,0.10164,156880950,1704686399999,15971138.78986,52117,76711458,7809192.83315,0
1704686400000,0.10164,0.10359,0.10158,0.10332,126963063,1704700799999,13033684.74824,44041,67695621,6947520.35342,0
1704700800000,0.10332,0.10418,0.10264,0.10349,93479068,1704715199999,9667151.21557,33081,51381017,5314614.38343,0
1704715200000,0.10350,0.10380,0.10273,0.10312,131853612,1704729599999,13614253.06130,40744,69455603,7171916.13397,0
1704729600000,0.10312,0.10432,0.10280,0.10420,91918965,1704743999999,9517894.62808,32435,51958451,5381559.60283,0
1704744000000,0.10420,0.10421,0.10358,0.10415,47489224,1704758399999,4933324.30506,19518,24294294,2523752.89630,0
1704758400000,0.10415,0.10416,0.10324,0.10391,74860263,1704772799999,7768090.36757,26429,33647497,3491830.63874,0
1704772800000,0.10390,0.10454,0.10382,0.10407,63207567,1704787199999,6584492.43002,23966,31676356,3300247.85654,0
1704787200000,0.10407,0.10408,0.10305,0.10317,60049797,1704801599999,6212643.30472,21833,27297718,2823901.53403,0
1704801600000,0.10316,0.10336,0.10163,0.10212,142787597,1704815999999,14629271.82379,45383,70502393,7223667.32879,0
1704816000000,0.10213,0.10232,0.10144,0.10223,79989699,1704830399999,8148614.00678,31274,43056610,4386326.69366,0
1704830400000,0.10223,0.10290,0.10154,0.10273,174760725,1704844799999,17861924.57333,61961,91513856,9354388.78123,0
1704844800000,0.10272,0.10358,0.10267,0.10348,73979209,1704859199999,7643409.37597,31779,36050466,3724558.81154,0
1704859200000,0.10348,0.10392,0.10337,0.10387,42939715,1704873599999,4449801.19336,23025,20245931,2098352.87464,0
1704873600000,0.10388,0.10470,0.10387,0.10450,60573053,1704887999999,6315075.70769,28699,32376219,3375904.97011,0
1704888000000,0.10450,0.10454,0.10285,0.10422,144253153,1704902399999,14945070.39282,46828,69198048,7170026.68774,0
1704902400000,0.10421,0.10455,0.10314,0.10438,108051855,1704916799999,11241704.60547,38626,55979441,5826944.36876,0
1704916800000,0.10437,0.10583,0.10339,0.10517,236953374,1704931199999,24791548.12744,78836,124368169,13016640.27620,0
1704931200000,0.10517,0.10575,0.10499,0.10559,86658348,1704945599999,9136606.72026,31224,44422518,4683534.00680,0
1704945600000,0.10559,0.10568,0.10465,0.10534,65143376,1704959999999,6850085.83763,25916,31649247,3328210.90938,0
1704960000000,0.10534,0.10677,0.10524,0.10665,109963816,1704974399999,11672029.34608,41913,57760941,6131150.64763,0
1704974400000,0.10665,0.10777,0.10538,0.10567,330491690,1704988799999,35296533.38952,86885,161082568,17210713.97969,0
1704988800000,0.10567,0.10614,0.10460,0.10605,165942437,1705003199999,17487744.62954,49991,83300406,8779232.90955,0
1705003200000,0.10605,0.10630,0.10558,0.10617,64754021,1705017599999,6860015.79872,24186,33965743,3598695.87859,0
1705017600000,0.10616,0.10670,0.10584,0.10659,69473144,1705031999999,7386650.90506,27203,34233228,3640131.28707,0
1705032000000,0.10658,0.10729,0.10658,0.10714,51354811,1705046399999,5491997.67346,23966,26865609,2873042.05493,0
1705046400000,0.10713,0.10767,0.10660,0.10745,81537344,1705060799999,8733656.65834,28049,41276828,4422182.18503,0
1705060800000,0.10744,0.10803,0.10630,0.10670,164822213,1705075199999,17692019.78357,49155,80430919,8634979.24027,0
1705075200000,0.10670,0.10722,0.10593,0.10704,162007329,1705089599999,17286941.19076,47019,79144050,8445346.40087,0
1705089600000,0.10703,0.10764,0.10547,0.10684,181299996,1705103999999,19330306.00373,51167,88573415,9443389.77514,0
1705104000000,0.10684,0.10712,0.10617,0.10673,109454226,1705118399999,11668867.58717,32910,51603566,5500876.63793,0
1705118400000,0.10673,0.10964,0.10658,0.10938,146411052,1705132799999,15849602.09818,48737,79217718,8574679.47098,0
1705132800000,0.10938,0.11383,0.10888,0.11347,732075096,1705147199999,82055807.41830,199794,375647990,42095302.19148,0
1705147200000,0.11348,0.11648,0.11257,0.11511,755675746,1705161599999,86555142.41649,198108,385172339,44125614.05727,0
1705161600000,0.11511,0.11521,0.11341,0.11431,286057739,1705175999999,32639172.02596,84308,141109090,16099866.43140,0
1705176000000,0.11431,0.11450,0.11357,0.11422,110396789,1705190399999,12595054.49847,37303,58742221,6702286.13715,0
1705190400000,0.11422,0.11787,0.11418,0.11687,304885914,1705204799999,35423570.95158,90196,154136426,17902641.79165,0
1705204800000,0.11686,0.11724,0.11516,0.11553,222999807,1705219199999,25875759.41627,66518,108700423,12615899.57959,0
1705219200000,0.11553,0.11710,0.11435,0.11438,209513010,1705233599999,24216839.36349,63453,97701704,11299292.31947,0
1705233600000,0.11438,0.11510,0.11357,0.11416,122983109,1705247999999,14052303.55038,41617,60594736,6924518.39643,0
1705248000000,0.11416,0.11420,0.11172,0.11205,150442655,1705262399999,17005520.00543,47919,71640420,8100626.58302,0
1705262400000,0.11206,0.11279,0.11095,0.11118,152639874,1705276799999,17087006.49460,48875,79616116,8914949.57589,0
1705276800000,0.11118,0.11279,0.11117,0.11262,81424185,1705291199999,9114493.12166,34396,44478764,4979003.93739,0
1705291200000,0.11261,0.11309,0.11232,0.11273,65507254,1705305599999,7387698.28653,29579,32236888,3635607.97229,0
1705305600000,0.11273,0.11413,0.11273,0.11405,86729495,1705319999999,9852637.30825,38721,45773986,5199920.89404,0
1705320000000,0.11406,0.11442,0.11283,0.11299,163959484,1705334399999,18629309.33136,51380,82759733,9404828.82703,0
1705334400000,0.11299,0.11362,0.11146,0.11198,103736013,1705348799999,11693889.53839,42539,47839854,5395948.27813,0
1705348800000,0.11198,0.11233,0.10777,0.10867,294562041,1705363199999,32173156.62609,97918,141256465,15416512.96343,0
1705363200000,0.10867,0.10903,0.10795,0.10891,91523302,1705377599999,9930789.59359,45113,50092828,5436081.55476,0
1705377600000,0.10892,0.11007,0.10871,0.10995,94960949,1705391999999,10401878.45393,47592,55417500,6069789.36284,0
1705392000000,0.10995,0.11056,0.10900,0.10910,97206444,1705406399999,10676223.95041,39529,43761357,4809747.60778,0
1705406400000,0.10911,0.10922,0.10729,0.10783,176155270,1705420799999,19064620.54747,60706,83596500,9046116.65107,0
1705420800000,0.10784,0.10840,0.10766,0.10815,73308818,1705435199999,7920616.96548,31114,37640721,4067628.47414,0
1705435200000,0.10815,0.10853,0.10793,0.10802,45289175,1705449599999,4900910.35035,20444,20057854,2171250.42160,0
1705449600000,0.10801,0.10843,0.10790,0.10801,39456091,1705463999999,4265842.59682,17599,19096098,2064864.89658,0
1705464000000,0.10801,0.10821,0.10742,0.10753,51337383,1705478399999,5538696.53993,19655,21104106,2277446.27340,0
1705478400000,0.10754,0.10928,0.10731,0.10922,81750151,1705492799999,8867919.12986,27220,44031334,4774965.87298,0
1705492800000,0.10922,0.10923,0.10776,0.10786,98044348,1705507199999,10620558.90383,31821,46127816,4996635.00400,0
1705507200000,0.10787,0.10818,0.10760,0.10806,42433807,1705521599999,4578161.80111,17192,23012363,2482976.82153,0
1705521600000,0.10805,0.10843,0.10789,0.10837,39407698,1705535999999,4263366.95677,16342,20474087,2215092.70399,0
1705536000000,0.10837,0.10876,0.10794,0.10857,56066191,1705550399999,6072646.80522,20165,26077433,2824844.71245,0
1705550400000,0.10857,0.10964,0.10847,0.10964,64966125,1705564799999,7090507.83409,22997,33147519,3618201.65610,0
1705564800000,0.10963,0.10979,0.10911,0.10939,67648652,1705579199999,7408439.09225,23388,27844097,3050081.43629,0
1705579200000,0.10938,0.10967,0.10855,0.10966,87538659,1705593599999,9554242.48378,29671,42989601,4692936.70788,0
1705593600000,0.10965,0.10976,0.10593,0.10702,168935285,1705607999999,18272832.76188,55863,75361125,8157436.84045,0
1705608000000,0.10701,0.10817,0.10698,0.10810,92728001,1705622399999,9979666.27995,28450,49138663,5289319.14644,0
1705622400000,0.10809,0.10816,0.10671,0.10737,65361054,1705636799999,7018473.68519,25344,29878975,3207488.49807,0
1705636800000,0.10737,0.10836,0.10723,0.10836,42035238,1705651199999,4534535.39043,18453,23712570,2557584.34937,0
1705651200000,0.10835,0.10932,0.10828,0.10914,99384030,1705665599999,10822149.33564,30436,51968103,5658631.98204,0
1705665600000,0.10914,0.10975,0.10875,0.10912,94326547,1705679999999,10302932.58638,32184,46161540,5042300.68396,0
1705680000000,0.10912,0.10978,0.10777,0.10976,170750903,1705694399999,18559096.51032,52401,91406067,9936047.66675,0
1705694400000,0.10975,0.11048,0.10955,0.11047,68498943,1705708799999,7533515.02298,25500,37222940,4094741.10034,0
1705708800000,0.11046,0.11060,0.10995,0.11043,47789863,1705723199999,5274276.95959,19007,22610022,2495411.76335,0
1705723200000,0.11042,0.11089,0.10984,0.11072,66111542,1705737599999,7297375.81619,22645,33008097,3644578.90441,0
1705737600000,0.11071,0.11071,0.10972,0.11018,60493789,1705751999999,6663101.83607,25283,28854829,3177942.65249,0
1705752000000,0.11019,0.11031,0.10957,0.11002,40245747,1705766399999,4426742.96633,18772,17228639,1895176.70219,0
1705766400000,0.11002,0.11050,0.10992,0.11008,41290471,1705780799999,4549210.88190,17802,21616275,2381897.68204,0
1705780800000,0.11008,0.11034,0.10975,0.10999,30848383,1705795199999,3395695.20959,13250,15557358,1712773.45286,0
1705795200000,0.10999,0.11176,0.10957,0.11143,96206930,1705809599999,10652381.30393,31299,54897704,6079308.42687,0
1705809600000,0.11142,0.11156,0.11066,0.11079,40898484,1705823999999,4540999.84368,17663,19225056,2134641.77886,0
1705824000000,0.11079,0.11088,0.11060,0.11081,24221807,1705838399999,2682870.09115,13840,12624173,1398376.26174,0
1705838400000,0.11081,0.11099,0.11016,0.11027,37266904,1705852799999,4123542.08217,16541,16177435,1790064.79802,0
1705852800000,0.11026,0.11047,0.10911,0.10945,82763169,1705867199999,9089330.34981,26400,34541967,3795632.33900,0
1705867200000,0.10945,0.10958,0.10877,0.10883,45176423,1705881599999,4931690.05653,17599,21232662,2317738.54662,0
1705881600000,0.10883,0.10903,0.10804,0.10824,59900282,1705895999999,6496663.27487,22344,27295179,2961648.95400,0
1705896000000,0.10825,0.10917,0.10795,0.10911,47602480,1705910399999,5170866.33552,20275,25185710,2735766.76302,0
1705910400000,0.10911,0.10915,0.10782,0.10900,94216671,1705924799999,10230094.96249,34521,42343338,4596460.46097,0
1705924800000,0.10901,0.10959,0.10876,0.10958,96086755,1705939199999,10484935.07104,30848,51363163,5605026.21567,0
1705939200000,0.10957,0.10983,0.10843,0.10905,104872722,1705953599999,11450538.92092,34423,51882625,5663163.94276,0
1705953600000,0.10905,0.10990,0.10903,0.10927,63800142,1705967999999,6982014.09506,24440,31552159,3452741.98499,0
1705968000000,0.10927,0.10982,0.10912,0.10952,65277377,1705982399999,7145964.91444,27547,28790495,3151412.21721,0
1705982400000,0.10951,0.11000,0.10934,0.10951,81792765,1705996799999,8971911.51831,27591,35960930,3944632.32058,0
1705996800000,0.10950,0.10951,0.10660,0.10702,239128525,1706011199999,25762485.95016,70984,117890579,12700101.98971,0
1706011200000,0.10702,0.10747,0.10604,0.10726,128522501,1706025599999,13732543.81664,45231,61374900,6557928.42047,0
1706025600000,0.10725,0.10730,0.10637,0.10659,70363729,1706039999999,7517528.92524,28371,34932147,3731674.10149,0
1706040000000,0.10658,0.10727,0.10632,0.10719,54699188,1706054399999,5838004.71775,20771,29812584,3182514.00382,0
