open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1659312000000,59.70,60.71,59.25,60.05,291855.277,1659326399999,17531208.85192,41230,141286.591,8488848.16395,0
1659326400000,60.04,60.53,59.09,59.98,293481.641,1659340799999,17541954.46873,41044,138257.009,8267497.33621,0
1659340800000,59.97,60.16,58.71,59.38,343933.980,1659355199999,20422488.50482,49531,168686.343,10017448.39590,0
1659355200000,59.38,60.04,58.35,59.73,421510.999,1659369599999,25009944.91754,66088,205680.443,12208453.34375,0
1659369600000,59.73,59.81,58.21,58.55,352872.490,1659383999999,20758753.22912,54982,165795.356,9754679.86055,0
1659384000000,58.55,59.63,58.29,59.43,289101.942,1659398399999,17027563.65594,39264,158832.365,9354561.96772,0
1659398400000,59.43,59.83,56.77,57.12,490403.215,1659412799999,28510938.34485,69163,221602.396,12885357.81475,0
1659412800000,57.12,57.61,56.57,57.51,271585.073,1659427199999,15536971.85912,40283,141719.264,8110259.44388,0
1659427200000,57.50,58.05,56.65,57.78,291454.692,1659441599999,16707668.06815,46426,141475.247,8113366.16875,0
1659441600000,57.78,58.94,56.90,58.78,537993.611,1659455999999,31111976.18759,74493,263418.623,15235308.90408,0
1659456000000,58.79,59.70,58.05,58.40,435992.620,1659470399999,25710935.60370,58430,218388.623,12879677.97111,0
1659470400000,58.41,58.78,57.91,58.04,207637.942,1659484799999,12140473.37314,35533,97238.950,5685906.38506,0
1659484800000,58.04,58.29,56.66,57.56,366675.595,1659499199999,21010764.35140,54113,182006.582,10429674.77694,0
1659499200000,57.56,58.57,57.43,58.23,341826.879,1659513599999,19849664.27357,46548,174872.945,10157133.41880,0
1659513600000,58.24,59.22,58.22,59.15,339560.335,1659527999999,19971903.17136,51175,160566.887,9444098.33255,0
1659528000000,59.16,59.85,58.67,59.25,364349.245,1659542399999,21565823.18604,57597,176639.334,10457712.92151,0
1659542400000,59.26,60.11,58.96,59.70,271653.701,1659556799999,16191581.84928,43687,137435.941,8192878.79910,0
1659556800000,59.70,59.80,57.26,57.70,310750.194,1659571199999,18166017.43622,49095,144516.179,8443464.99027,0
1659571200000,57.70,59.16,57.53,58.86,266153.079,1659585599999,15607285.41674,42075,129610.801,7600826.59852,0
1659585600000,58.86,59.22,57.95,58.53,287278.795,1659599999999,16863311.52480,40739,147327.367,8649315.10998,0
1659600000000,58.53,58.89,58.18,58.47,241364.789,1659614399999,14128256.00417,40268,116983.977,6848477.29237,0
1659614400000,58.46,60.79,58.00,59.63,765920.730,1659628799999,45519938.79849,98752,380757.147,22630837.11401,0
1659628800000,59.62,59.99,58.45,59.07,448894.960,1659643199999,26545483.93878,63643,215830.428,12766894.23370,0
1659643200000,59.06,59.97,58.81,59.61,267288.266,1659657599999,15878310.50493,37912,134764.907,8007666.35967,0
1659657600000,59.61,61.56,59.57,61.52,411905.780,1659671999999,24996293.29998,56480,217455.749,13196478.65490,0
1659672000000,61.52,62.23,61.05,61.57,422932.554,1659686399999,26068325.57147,52888,214193.039,13203892.65882,0
1659686400000,61.57,62.21,60.77,62.05,425522.971,1659700799999,26177075.15681,56762,211417.073,13006224.27961,0
1659700800000,62.04,62.38,60.35,60.84,548707.165,1659715199999,33621658.62129,75941,257982.749,15807863.97057,0
1659715200000,60.85,61.32,60.62,61.17,263667.119,1659729599999,16069314.01526,39023,130700.829,7966862.86846,0
1659729600000,61.16,62.59,60.87,62.45,258049.660,1659743999999,15969922.17435,40753,137894.416,8533819.03701,0
1659744000000,62.46,62.59,61.44,61.69,208463.734,1659758399999,12911318.32221,33699,99212.301,6145679.73765,0
1659758400000,61.69,61.95,61.41,61.63,151763.899,1659772799999,9349464.54856,24865,76574.212,4717454.13356,0
1659772800000,61.64,61.85,60.89,61.11,236790.837,1659787199999,14506612.52141,37105,106239.307,6510329.28471,0
