open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677628800000,7.193,7.356,7.142,7.352,4888565.70,1677643199999,35391304.23805,89506,2462515.99,17824463.62220,0
1677643200000,7.353,7.428,7.324,7.395,4313775.63,1677657599999,31877192.80271,66407,2248647.54,16616157.11514,0
1677657600000,7.395,7.499,7.381,7.470,4700753.91,1677671999999,34976072.20094,79396,2455277.71,18272710.29167,0
1677672000000,7.470,7.506,7.391,7.429,5467761.58,1677686399999,40688105.16999,104351,2618276.66,19486717.51445,0
1677686400000,7.428,7.444,7.332,7.355,3784524.27,1677700799999,27992215.53162,66573,1824158.31,13496292.17507,0
1677700800000,7.355,7.545,7.335,7.533,3683033.78,1677715199999,27503731.84592,73122,1902658.13,14212365.14587,0
1677715200000,7.533,7.583,7.345,7.391,6562506.63,1677729599999,48869607.30698,94861,3048444.34,22727082.71494,0
1677729600000,7.390,7.448,7.309,7.354,3210642.83,1677743999999,23673411.86285,55908,1466007.64,10812731.67570,0
1677744000000,7.353,7.365,7.258,7.320,3358286.13,1677758399999,24553528.85094,61744,1582050.64,11570464.88770,0
1677758400000,7.319,7.328,7.158,7.226,6055981.92,1677772799999,43750634.88710,105037,2919808.90,21096315.21264,0
1677772800000,7.226,7.296,7.163,7.273,4128135.39,1677787199999,29828053.56451,75766,2047275.93,14794293.46474,0
1677787200000,7.273,7.281,7.225,7.272,2494143.59,1677801599999,18095755.97038,50570,1203409.10,8730963.53529,0
1677801600000,7.272,7.273,6.595,6.810,17022885.76,1677815999999,116674664.31750,244691,7974804.98,54576935.94029,0
1677816000000,6.809,6.880,6.788,6.864,3711533.81,1677830399999,25388179.84175,64765,1698873.97,11620766.60862,0
1677830400000,6.863,6.908,6.846,6.889,2829751.01,1677844799999,19473914.85699,44621,1369158.51,9423494.67260,0
1677844800000,6.888,6.948,6.840,6.894,4260707.60,1677859199999,29392284.36225,72989,2035300.46,14044144.48159,0
1677859200000,6.894,6.943,6.860,6.919,2800101.46,1677873599999,19324203.96008,56695,1336249.92,9222435.61161,0
1677873600000,6.919,6.960,6.850,6.954,2664972.52,1677887999999,18417772.30619,77001,1334356.06,9221628.67557,0
1677888000000,6.954,7.006,6.902,6.912,3926134.23,1677902399999,27256311.65163,51720,1721901.15,11959522.30364,0
1677902400000,6.911,6.931,6.854,6.909,2136637.82,1677916799999,14737506.81546,45305,1046243.11,7216188.82842,0
